date,lat,lon,sst
2026-05-06,-10.000,141.000,28.102
2026-05-06,-10.000,142.000,27.766
2026-05-06,-10.000,143.000,27.693
2026-05-06,-10.000,144.000,27.363
2026-05-06,-10.000,145.000,27.297
2026-05-06,-10.000,146.000,27.571
2026-05-06,-10.000,147.000,27.676
2026-05-06,-10.000,148.000,27.571
2026-05-06,-10.000,149.000,27.590
2026-05-06,-10.000,150.000,28.473
2026-05-06,-10.000,151.000,28.087
2026-05-06,-10.000,152.000,28.004
2026-05-06,-10.000,153.000,28.000
2026-05-06,-10.000,154.000,27.783
2026-05-06,-10.000,155.000,28.667
2026-05-06,-10.000,156.000,29.122
2026-05-06,-10.000,157.000,28.919
2026-05-06,-10.000,158.000,28.825
2026-05-06,-10.000,159.000,28.928
2026-05-06,-10.000,160.000,29.258
2026-05-06,-10.000,161.000,29.638
2026-05-06,-10.000,162.000,29.887
2026-05-06,-10.000,163.000,29.878
2026-05-06,-10.000,164.000,29.631
2026-05-06,-10.000,165.000,29.607
2026-05-06,-10.000,166.000,29.913
2026-05-06,-10.000,167.000,29.959
2026-05-06,-10.000,168.000,29.941
2026-05-06,-10.000,169.000,29.893
2026-05-06,-10.000,170.000,30.014
2026-05-06,-10.000,171.000,30.171
2026-05-06,-10.000,172.000,30.074
2026-05-06,-10.000,173.000,29.997
2026-05-06,-10.000,174.000,29.866
2026-05-06,-10.000,175.000,30.112
2026-05-06,-10.000,176.000,30.237
2026-05-06,-10.000,177.000,30.405
2026-05-06,-10.000,178.000,30.446
2026-05-06,-10.000,179.000,30.415
2026-05-06,-10.000,180.000,30.359
2026-05-06,-9.000,39.000,29.150
2026-05-06,-9.000,40.000,29.020
2026-05-06,-9.000,41.000,28.894
2026-05-06,-9.000,42.000,28.989
2026-05-06,-9.000,43.000,28.849
2026-05-06,-9.000,44.000,28.822
2026-05-06,-9.000,45.000,28.666
2026-05-06,-9.000,46.000,29.004
2026-05-06,-9.000,47.000,29.131
2026-05-06,-9.000,48.000,29.185
2026-05-06,-9.000,49.000,28.826
2026-05-06,-9.000,50.000,28.236
2026-05-06,-9.000,51.000,28.219
2026-05-06,-9.000,52.000,28.186
2026-05-06,-9.000,53.000,27.910
2026-05-06,-9.000,54.000,27.885
2026-05-06,-9.000,55.000,28.147
2026-05-06,-9.000,56.000,28.629
2026-05-06,-9.000,57.000,29.003
2026-05-06,-9.000,58.000,29.358
2026-05-06,-9.000,59.000,29.480
2026-05-06,-9.000,60.000,29.583
2026-05-06,-9.000,61.000,29.818
2026-05-06,-9.000,62.000,29.852
2026-05-06,-9.000,63.000,29.703
2026-05-06,-9.000,64.000,29.757
2026-05-06,-9.000,65.000,29.789
2026-05-06,-9.000,66.000,29.706
2026-05-06,-9.000,67.000,29.674
2026-05-06,-9.000,68.000,29.559
2026-05-06,-9.000,69.000,29.593
2026-05-06,-9.000,70.000,29.698
2026-05-06,-9.000,71.000,29.723
2026-05-06,-9.000,72.000,29.456
2026-05-06,-9.000,73.000,29.449
2026-05-06,-9.000,74.000,29.464
2026-05-06,-9.000,75.000,29.579
2026-05-06,-9.000,76.000,29.383
2026-05-06,-9.000,77.000,28.909
2026-05-06,-9.000,78.000,28.999
2026-05-06,-9.000,79.000,29.190
2026-05-06,-9.000,80.000,29.368
2026-05-06,-9.000,81.000,29.071
2026-05-06,-9.000,82.000,29.053
2026-05-06,-9.000,83.000,29.146
2026-05-06,-9.000,84.000,29.034
2026-05-06,-9.000,85.000,28.871
2026-05-06,-9.000,86.000,28.933
2026-05-06,-9.000,87.000,29.028
2026-05-06,-9.000,88.000,28.837
2026-05-06,-9.000,89.000,28.734
2026-05-06,-9.000,90.000,29.306
2026-05-06,-9.000,91.000,29.226
2026-05-06,-9.000,92.000,29.263
2026-05-06,-9.000,93.000,29.330
2026-05-06,-9.000,94.000,29.440
2026-05-06,-9.000,95.000,29.916
2026-05-06,-9.000,96.000,29.813
2026-05-06,-9.000,97.000,29.545
2026-05-06,-9.000,98.000,29.434
2026-05-06,-9.000,99.000,29.424
2026-05-06,-9.000,100.000,29.602
2026-05-06,-9.000,101.000,29.677
2026-05-06,-9.000,102.000,29.738
2026-05-06,-9.000,103.000,29.809
2026-05-06,-9.000,104.000,29.768
2026-05-06,-9.000,105.000,29.599
2026-05-06,-9.000,106.000,29.423
2026-05-06,-9.000,107.000,29.462
2026-05-06,-9.000,108.000,29.341
2026-05-06,-9.000,109.000,29.110
2026-05-06,-9.000,110.000,28.934
2026-05-06,-9.000,111.000,28.768
2026-05-06,-9.000,112.000,28.739
2026-05-06,-9.000,113.000,28.502
2026-05-06,-9.000,114.000,28.045
2026-05-06,-9.000,115.000,27.928
2026-05-06,-9.000,116.000,28.462
2026-05-06,-9.000,117.000,28.242
2026-05-06,-9.000,118.000,28.168
2026-05-06,-9.000,119.000,28.173
2026-05-06,-9.000,120.000,28.235
2026-05-06,-9.000,121.000,28.406
2026-05-06,-9.000,122.000,28.692
2026-05-06,-9.000,123.000,28.593
2026-05-06,-9.000,124.000,28.607
2026-05-06,-9.000,125.000,29.001
2026-05-06,-9.000,126.000,28.717
2026-05-06,-9.000,127.000,28.616
2026-05-06,-9.000,128.000,28.589
2026-05-06,-9.000,129.000,28.682
2026-05-06,-9.000,130.000,28.708
2026-05-06,-9.000,131.000,28.715
2026-05-06,-9.000,132.000,28.514
2026-05-06,-9.000,133.000,28.465
2026-05-06,-9.000,134.000,28.487
2026-05-06,-9.000,135.000,28.402
2026-05-06,-9.000,136.000,28.250
2026-05-06,-9.000,137.000,28.176
2026-05-06,-9.000,138.000,28.171
2026-05-06,-9.000,139.000,28.301
2026-05-06,-9.000,140.000,28.179
2026-05-06,-9.000,141.000,27.812
2026-05-06,-9.000,142.000,27.750
2026-05-06,-9.000,143.000,27.867
2026-05-06,-9.000,144.000,27.844
2026-05-06,-9.000,145.000,27.849
2026-05-06,-9.000,146.000,28.126
2026-05-06,-9.000,147.000,28.053
2026-05-06,-9.000,148.000,29.120
2026-05-06,-9.000,149.000,29.160
2026-05-06,-9.000,150.000,28.739
2026-05-06,-9.000,151.000,28.002
2026-05-06,-9.000,152.000,27.983
2026-05-06,-9.000,153.000,28.424
2026-05-06,-9.000,154.000,28.556
2026-05-06,-9.000,155.000,28.975
2026-05-06,-9.000,156.000,29.158
2026-05-06,-9.000,157.000,28.939
2026-05-06,-9.000,158.000,28.965
2026-05-06,-9.000,159.000,29.269
